experiment_id,Imbalance ratio,Model,Sampler,Feature,Group,Role,Threshold used,DIR,n_samples,favourable_label_rate,default_label_rate
12,0.01,RandomForestClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.957116972249724,635869.0,0.4633595913623718,0.5366404086376282
12,0.01,RandomForestClassifier,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.957116972249724,1008289.0,0.4841201282568787,0.5158798717431212
12,0.01,RandomForestClassifier,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.8076414498522902,778493.0,0.5297427208722494,0.4702572791277506
12,0.01,RandomForestClassifier,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8076414498522902,865665.0,0.4278421791339606,0.5721578208660394
13,0.01,RandomForestClassifier,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0196025959117452,639748.0,0.5061133446294478,0.4938866553705521
13,0.01,RandomForestClassifier,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0196025959117452,1083065.0,0.4963829502384437,0.5036170497615563
13,0.01,RandomForestClassifier,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.7188794843203238,760079.0,0.5931817613695418,0.4068182386304581
13,0.01,RandomForestClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7188794843203238,962734.0,0.4264261987215575,0.5735738012784425
14,0.01,RandomForestClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
14,0.01,RandomForestClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
14,0.01,RandomForestClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
14,0.01,RandomForestClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
15,0.01,NeuralNetClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
15,0.01,NeuralNetClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
15,0.01,NeuralNetClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
15,0.01,NeuralNetClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
16,0.01,NeuralNetClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,1.0060942142408305,6663.0,0.5018760318174996,0.4981239681825004
16,0.01,NeuralNetClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,1.0060942142408305,10739.0,0.4988360182512338,0.5011639817487662
16,0.01,NeuralNetClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8852377284430001,8586.0,0.5308641975308642,0.4691358024691358
16,0.01,NeuralNetClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8852377284430001,8816.0,0.4699410163339383,0.5300589836660617
17,0.01,NeuralNetClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.9572147494530026,635752.0,0.463358353571833,0.5366416464281669
17,0.01,NeuralNetClassifier,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.9572147494530026,1008310.0,0.4840693834237486,0.5159306165762514
17,0.01,NeuralNetClassifier,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.8073341825574085,778297.0,0.5298144538652982,0.4701855461347018
17,0.01,NeuralNetClassifier,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8073341825574085,865765.0,0.4277373190184403,0.5722626809815596
18,0.01,NeuralNetClassifier,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0196025959117452,639748.0,0.5061133446294478,0.4938866553705521
18,0.01,NeuralNetClassifier,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0196025959117452,1083065.0,0.4963829502384437,0.5036170497615563
18,0.01,NeuralNetClassifier,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.7188794843203238,760079.0,0.5931817613695418,0.4068182386304581
18,0.01,NeuralNetClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7188794843203238,962734.0,0.4264261987215575,0.5735738012784425
19,0.01,NeuralNetClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9997626847478897,327104.0,0.9898533799647818,0.0101466200352181
19,0.01,NeuralNetClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9997626847478897,542997.0,0.9900883430295196,0.0099116569704805
19,0.01,NeuralNetClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9975787900920918,454893.0,0.99114517040271,0.0088548295972899
19,0.01,NeuralNetClassifier,ClassWeight,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9975787900920918,415208.0,0.9887453998959558,0.0112546001040442
20,0.02,XGBClassifier,Baseline,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
20,0.02,XGBClassifier,Baseline,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
20,0.02,XGBClassifier,Baseline,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
20,0.02,XGBClassifier,Baseline,annual_inc,lower annual income,unprivileged,11.082157933374816,0.9947127390296532,420077.0,0.9772874972921632,0.0227125027078368
21,0.02,XGBClassifier,RandomUnderSampler,emp_length,emp_length < 5 years,unprivileged,5.0,0.9900054982294476,13317.0,0.496883682511076,0.5031163174889239
21,0.02,XGBClassifier,RandomUnderSampler,emp_length,emp_length >= 5 years,privileged,5.0,0.9900054982294476,21843.0,0.5018999221718629,0.4981000778281371
21,0.02,XGBClassifier,RandomUnderSampler,annual_inc,higher annual income,privileged,11.082157933374816,0.8745055543419739,17256.0,0.5341330551692165,0.4658669448307835
21,0.02,XGBClassifier,RandomUnderSampler,annual_inc,lower annual income,unprivileged,11.082157933374816,0.8745055543419739,17904.0,0.4671023235031278,0.5328976764968723
22,0.02,XGBClassifier,SMOTEENN,emp_length,emp_length < 5 years,unprivileged,5.0,0.955124231868735,612766.0,0.4435216705887729,0.5564783294112271
22,0.02,XGBClassifier,SMOTEENN,emp_length,emp_length >= 5 years,privileged,5.0,0.955124231868735,971063.0,0.4643601908424067,0.5356398091575932
22,0.02,XGBClassifier,SMOTEENN,annual_inc,higher annual income,privileged,11.082157933374816,0.7845852035061912,745340.0,0.515033407572383,0.4849665924276169
22,0.02,XGBClassifier,SMOTEENN,annual_inc,lower annual income,unprivileged,11.082157933374816,0.7845852035061912,838489.0,0.4040875908926652,0.5959124091073348
23,0.02,XGBClassifier,KMeansSMOTE,emp_length,emp_length < 5 years,unprivileged,5.0,1.0642594765824596,622152.0,0.5200529774074503,0.4799470225925497
23,0.02,XGBClassifier,KMeansSMOTE,emp_length,emp_length >= 5 years,privileged,5.0,1.0642594765824596,1100676.0,0.4886524281441586,0.5113475718558413
23,0.02,XGBClassifier,KMeansSMOTE,annual_inc,higher annual income,privileged,11.082157933374816,0.6223244690154345,699441.0,0.6446061926595668,0.3553938073404333
23,0.02,XGBClassifier,KMeansSMOTE,annual_inc,lower annual income,unprivileged,11.082157933374816,0.6223244690154345,1023387.0,0.4011542065709257,0.5988457934290743
24,0.02,XGBClassifier,ClassWeight,emp_length,emp_length < 5 years,unprivileged,5.0,0.9995308337069796,330252.0,0.979712461998716,0.0202875380012838
24,0.02,XGBClassifier,ClassWeight,emp_length,emp_length >= 5 years,privileged,5.0,0.9995308337069796,548728.0,0.9801723258153402,0.0198276741846597
24,0.02,XGBClassifier,ClassWeight,annual_inc,higher annual income,privileged,11.082157933374816,0.9947127390296532,458903.0,0.982482136747853,0.0175178632521469
